latitude,longitude,pokemon,times
52.7036423187358,16.3819528654546,Zubat x 13 | Weedle x 43 | Pidgey x 26 | Rattata x 9 | ,21:56:45 | 22:42:05 | 22:42:28 | 22:46:10 | 22:46:33 | 22:50:17 | 22:50:41 | 22:54:29 | 22:54:52 | 22:56:45 | 23:43:17 | 23:43:28 | 23:45:08 | 23:45:18 | 23:47:03 | 23:47:14 | 23:48:51 | 23:49:02 | 23:52:22 | 23:52:33 | 23:55:53 | 23:56:04 | 23:56:45 | 08:46:46 | 08:47:05 | 08:49:48 | 08:50:06 | 08:52:48 | 08:53:06 | 08:55:48 | 08:56:05 | 08:56:45 | 09:44:10 | 09:44:29 | 09:47:10 | 09:47:27 | 09:50:09 | 09:50:27 | 09:53:10 | 09:53:28 | 09:56:10 | 09:56:28 | 09:56:45 | 10:41:53 | 10:42:11 | 10:44:54 | 10:45:12 | 10:47:52 | 10:48:10 | 10:50:50 | 10:51:09 | 10:53:49 | 10:54:07 | 10:56:45 | 11:43:02 | 11:43:20 | 11:46:00 | 11:46:18 | 11:48:59 | 11:49:17 | 11:51:58 | 11:52:16 | 11:55:17 | 11:55:36 | 11:56:45 | 12:43:12 | 12:43:30 | 12:46:10 | 12:46:29 | 12:49:09 | 12:49:26 | 12:52:07 | 12:52:25 | 12:55:06 | 12:55:24 | 12:56:45 | 13:43:00 | 13:43:18 | 13:45:58 | 13:46:16 | 13:48:58 | 13:49:15 | 13:51:55 | 13:52:13 | 13:54:53 | 13:55:11 | 13:56:45 | 14:42:13 | 14:42:30 | 14:45:11 | 14:45:29 | 
52.7124663268819,16.3657255829595,Drowzee x 2 | Weedle x 4 | Rattata x 2 | Pidgey x 1 | ,21:59:14 | 22:59:14 | 23:59:14 | 08:59:14 | 09:59:14 | 10:59:14 | 11:59:14 | 12:59:14 | 13:59:14 | 
52.717210466753,16.3613282804696,Gastly x 1 | Weedle x 3 | Pidgey x 1 | Rattata x 4 | ,22:01:57 | 23:01:57 | 00:01:57 | 09:01:57 | 10:01:57 | 11:01:57 | 12:01:57 | 13:01:57 | 14:01:57 | 
52.7006543596724,16.3848607544908,Zubat x 6 | Weedle x 8 | Rattata x 9 | Pidgey x 19 | ,22:34:07 | 22:37:56 | 22:41:45 | 22:45:50 | 22:48:16 | 23:35:33 | 23:39:40 | 23:41:18 | 23:45:00 | 23:46:58 | 23:48:16 | 08:46:33 | 08:48:16 | 09:34:49 | 09:37:50 | 09:40:51 | 09:43:56 | 09:46:55 | 09:48:16 | 10:35:38 | 10:38:40 | 10:41:39 | 10:44:39 | 10:47:37 | 10:48:16 | 11:42:46 | 11:45:45 | 11:48:16 | 12:33:53 | 12:36:53 | 12:39:53 | 12:42:57 | 12:45:55 | 12:48:16 | 13:33:41 | 13:36:42 | 13:39:41 | 13:42:45 | 13:45:43 | 13:48:16 | 14:41:57 | 14:44:57 | 
52.7091559062237,16.3787945578341,Spearow x 1 | Drowzee x 1 | Rattata x 3 | Pidgey x 3 | Raticate x 1 | ,22:30:45 | 23:30:45 | 08:30:45 | 09:30:45 | 10:30:45 | 11:30:45 | 12:30:45 | 13:30:45 | 14:30:45 | 
52.7110681378852,16.3846920686231,Spearow x 1 | Magnemite x 1 | Magikarp x 1 | Pidgey x 2 | Pidgeotto x 1 | Rattata x 2 | ,22:51:46 | 23:51:46 | 08:51:46 | 09:51:46 | 10:51:46 | 11:51:46 | 12:51:46 | 13:51:46 | 
52.7025951642169,16.3772234315256,Weedle x 8 | Pidgey x 6 | Kakuna x 6 | Zubat x 7 | Pidgeotto x 5 | Rattata x 18 | ,22:00:44 | 22:46:41 | 22:50:51 | 22:55:00 | 22:59:09 | 23:00:44 | 23:47:19 | 23:49:04 | 23:54:23 | 23:56:05 | 23:57:48 | 23:59:29 | 00:00:44 | 08:48:28 | 08:51:29 | 08:54:29 | 08:57:27 | 09:00:28 | 09:00:44 | 09:45:51 | 09:48:51 | 09:51:50 | 09:54:51 | 09:57:51 | 10:00:44 | 10:46:34 | 10:49:33 | 10:52:31 | 10:55:29 | 10:58:28 | 11:00:44 | 11:47:41 | 11:50:40 | 11:53:38 | 11:56:58 | 11:59:55 | 12:00:44 | 12:47:53 | 12:50:50 | 12:53:47 | 12:56:46 | 12:59:44 | 13:00:44 | 13:47:39 | 13:50:37 | 13:53:36 | 13:56:33 | 13:59:32 | 14:00:44 | 14:46:52 | 
52.7183672753144,16.3616493720564,Weedle x 1 | Drowzee x 1 | Pidgey x 1 | Hypno x 1 | Eevee x 2 | Zubat x 1 | Venonat x 1 | Rattata x 1 | ,22:06:37 | 23:06:37 | 00:06:37 | 09:06:37 | 10:06:37 | 11:06:37 | 12:06:37 | 13:06:37 | 14:06:37 | 
52.7107440202014,16.3833434451853,Spearow x 1 | Gastly x 1 | Rattata x 1 | Pidgey x 3 | ,22:26:03 | 23:26:03 | 09:26:03 | 10:26:03 | 12:26:03 | 13:26:03 | 
52.7108583828796,16.3758688774991,Venonat x 1 | Pidgey x 2 | Rattata x 3 | ,22:24:59 | 23:24:59 | 09:24:59 | 10:24:59 | 12:24:59 | 13:24:59 | 
